物件名,カテゴリー,築年数,構造,階数,賃料,管理費,敷金,礼金,間取り,面積,23区,都市名,路線,最寄駅,徒歩
ロイヤルパークス西新井,賃貸マンション,14,14,4,106000.0,10000.0,106000.0,106000.0,ワンルーム,43.05,足立区,西新井栄町１,東武伊勢崎線,西新井駅,5
ロイヤルパークス西新井,賃貸マンション,14,14,7,116000.0,10000.0,116000.0,116000.0,1LDK,43.05,足立区,西新井栄町１,東武伊勢崎線,西新井駅,5
ロイヤルパークス西新井,賃貸マンション,14,14,12,116000.0,10000.0,116000.0,116000.0,ワンルーム,43.05,足立区,西新井栄町１,東武伊勢崎線,西新井駅,5
ロイヤルパークス西新井,賃貸マンション,14,14,12,116000.0,10000.0,116000.0,116000.0,1K,43.05,足立区,西新井栄町１,東武伊勢崎線,西新井駅,5
ロイヤルパークス西新井,賃貸マンション,14,14,9,119000.0,10000.0,119000.0,119000.0,1LDK,43.05,足立区,西新井栄町１,東武伊勢崎線,西新井駅,5
ロイヤルパークス西新井,賃貸マンション,14,14,13,120000.0,10000.0,120000.0,120000.0,1K,43.05,足立区,西新井栄町１,東武伊勢崎線,西新井駅,5
ロイヤルパークス西新井,賃貸マンション,14,14,11,120000.0,10000.0,120000.0,120000.0,1K,43.05,足立区,西新井栄町１,東武伊勢崎線,西新井駅,5
ロイヤルパークス西新井,賃貸マンション,14,14,12,121000.0,10000.0,121000.0,121000.0,2K,43.05,足立区,西新井栄町１,東武伊勢崎線,西新井駅,5
ロイヤルパークス西新井,賃貸マンション,14,14,10,123000.0,10000.0,123000.0,123000.0,1LDK,43.05,足立区,西新井栄町１,東武伊勢崎線,西新井駅,5
ロイヤルパークス西新井,賃貸マンション,14,14,13,124000.0,10000.0,124000.0,124000.0,1LDK,43.05,足立区,西新井栄町１,東武伊勢崎線,西新井駅,5
ロイヤルパークス西新井,賃貸マンション,14,14,13,125000.0,10000.0,125000.0,125000.0,1LDK,43.05,足立区,西新井栄町１,東武伊勢崎線,西新井駅,5
ロイヤルパークス西新井,賃貸マンション,14,14,2,159000.0,15000.0,159000.0,238500.0,2LDK,68.25,足立区,西新井栄町１,東武伊勢崎線,西新井駅,5
ロイヤルパークス西新井,賃貸マンション,14,14,2,176000.0,18000.0,176000.0,264000.0,3LDK,78.0,足立区,西新井栄町１,東武伊勢崎線,西新井駅,5
ロイヤルパークス西新井,賃貸マンション,14,14,3,184000.0,18000.0,184000.0,276000.0,3LDK,86.1,足立区,西新井栄町１,東武伊勢崎線,西新井駅,5
ロイヤルパークス西新井,賃貸マンション,14,14,12,187000.0,18000.0,187000.0,280500.0,3LDK,79.95,足立区,西新井栄町１,東武伊勢崎線,西新井駅,5
パセオ武蔵小山,賃貸マンション,3,5,4,169000.0,18000.0,0.0,0.0,1LDK,40.66,目黒区,目黒本町４,東急目黒線,武蔵小山駅,7
シャルム・K・カーサ,賃貸マンション,35,8,1,120000.0,10000.0,120000.0,0.0,2LDK,50.15,江戸川区,平井４,ＪＲ総武線,平井駅,10
シャルム・K・カーサ,賃貸マンション,35,8,5,135000.0,10000.0,135000.0,135000.0,3LDK,53.1,江戸川区,平井４,ＪＲ総武線,平井駅,10
シャルム・K・カーサ,賃貸マンション,35,8,5,135000.0,10000.0,135000.0,135000.0,2LDK,52.27,江戸川区,平井４,ＪＲ総武線,平井駅,10
ベルジュ弥生町(ベルジユヤヨイチヨウ),賃貸マンション,23,8,7,153000.0,12000.0,153000.0,183600.0,2DK,50.89,中野区,弥生町１,東京メトロ丸ノ内線,中野新橋駅,4
ベルジュ弥生町(ベルジユヤヨイチヨウ),賃貸マンション,23,8,7,164000.0,12000.0,164000.0,196800.0,2LDK,57.17,中野区,弥生町１,東京メトロ丸ノ内線,中野新橋駅,4
ベルジュ弥生町(ベルジユヤヨイチヨウ),賃貸マンション,23,8,8,185000.0,12000.0,185000.0,222000.0,2SLDK,76.27,中野区,弥生町１,東京メトロ丸ノ内線,中野新橋駅,4
パークハイツ小豆沢,賃貸マンション,28,14,6,137000.0,8000.0,137000.0,137000.0,3LDK,63.07,板橋区,小豆沢１,都営三田線,本蓮沼駅,8
